date,total_like,fitness_like,total_save,fitness_save,fitness_total,total_like_save,fitness_share_likesaves,total_workout_minutes,active_energy_total,resting_energy_total,avg_heart_rate,max_heart_rate,intensity_avg,step_count_total,workout_done
2024-12-30,66.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-31,28.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-01,57.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-02,22.0,2.0,0.0,0.0,2.0,22.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-03,43.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-04,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-05,18.0,0.0,0.0,0.0,0.0,18.0,0.0,2.35,7.252963209514492,20.87632524310414,68.26310141697802,76.0,3.73738482952009,0.0,1.0
2025-01-06,8.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-07,15.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-08,12.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-09,35.0,1.0,0.0,0.0,1.0,35.0,0.02857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-10,47.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-11,19.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-12,33.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-13,9.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-14,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-15,35.0,0.0,0.0,0.0,0.0,35.0,0.0,128.95,728.6387015858176,756.302497661633,119.64300774448941,166.0,4.735023435727755,3301.819831766224,1.0
2025-01-16,37.0,0.0,0.0,0.0,0.0,37.0,0.0,16.216666666666665,51.8056279132241,6.393455469845657,97.41247474910864,108.0,3.658236417974363,1171.9785318124118,1.0
2025-01-17,24.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-18,63.0,1.0,0.0,0.0,1.0,63.0,0.015873015873015872,68.65,381.52222234439,2.989056445493263,108.21915890728114,152.0,3.776860308078933,1689.0000000000002,1.0
2025-01-19,26.0,1.0,0.0,0.0,1.0,26.0,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
